global_index,satellite_id,mean_I,mean_Q,var_I,var_Q,std_I,std_Q,max_I,max_Q,min_I,min_Q,skew_I,skew_Q,kurt_I,kurt_Q,median_I,median_Q,iqr_I,iqr_Q,signal_power,iq_ratio,iq_correlation,papr,zero_crossing_rate,fft_mean_magnitude,peak_frequency,spectral_centroid,bandwidth,occupied_bandwidth
6464,87,0.00032426114224091924,0.000864506676910568,0.00042523954498772395,0.00042617082777126377,0.020621337128996362,0.020643905342043783,0.037206705659627914,0.036787696182727814,-0.030212746933102608,-0.031075287610292435,0.042574912706395365,0.038392314835808176,-1.5781448469354924,-1.539005447002257,-0.0007610883913002908,0.00011042504411307164,0.0414521056227386,0.0401377840898931,0.0008522628898417781,0.9989067856748278,0.9686865609076899,3.1639935004821913,0.0004545867806164197,0.2544960203247285,2272.7272727272725,476.3232437080213,98919.6553703032,236363.63636363635
6465,87,0.0004125299635040226,0.00022891487270313023,0.0004669682265717648,0.0005094792288800563,0.021609447623013523,0.022571646569979256,0.03590763360261917,0.037334658205509186,-0.030758319422602654,-0.031217392534017563,0.1070862772295019,0.10413339514512251,-1.6370046258003275,-1.6282768992866579,-0.0011820663348771632,-0.0014243672485463321,0.044626872055232525,0.04583647754043341,0.0009766700384415542,0.9573713444438973,0.9883562887751497,2.5248075027331582,0.0006364214928629876,0.2688963074180982,-2272.7272727272725,117.68634943923234,105949.76575017713,195454.5454545454
6466,87,0.00014888299626723397,-0.0001425291064323243,0.00032216847616608406,0.00033525163631074775,0.017949052235872624,0.018309878107479246,0.02932087332010269,0.02903367020189762,-0.026892563328146935,-0.02815636619925499,0.11814130579293347,0.13929707281028278,-1.5853354353820766,-1.6062012774969427,-0.001720509899314493,-0.0025794946122914553,0.03552726237103343,0.03654656698927283,0.0006574625931695898,0.9802933766413643,0.9784671934524306,2.3200282980824416,0.0010000909173561233,0.22796342579235446,-2272.7272727272725,36.62962934830691,105685.35497794145,249999.99999999997
6467,87,-0.0007087731793742685,-0.0002759345732912069,0.0006758956425690038,0.0006975926393027052,0.02599799304886829,0.026411979087200284,0.042469870299100876,0.041062742471694946,-0.039256226271390915,-0.040043603628873825,0.1161114604698219,0.09430227339768688,-1.6232854713048863,-1.6543944395369394,-0.003191330237314105,-0.0014066938310861588,0.05382274277508259,0.05429808469489217,0.0013740667811802468,0.9843258228788837,0.985497899996237,2.140691671028296,0.0004545867806164197,0.3127977947127561,2272.7272727272725,-111.27930522045394,98082.99245377722,190909.09090909088
6468,87,-9.678637019170951e-05,-0.0004927445935253962,0.000378292116592336,0.00038567553445315007,0.019449733072521486,0.01963862353764006,0.03279564529657364,0.030319638550281525,-0.029465533792972565,-0.0298480112105608,0.1093191186590844,0.12359186444997239,-1.5963357047882476,-1.601032753931723,-0.0030102160526439548,-0.003353696083649993,0.038859497755765915,0.039308412466198206,0.0007642198158813895,0.9903816851136976,0.9839894023335584,2.3514128106256624,0.0006364214928629876,0.23967101846182748,-2272.7272727272725,154.79710106559492,104476.92085031915,225000.0
6469,87,-8.767165903534326e-05,-0.0003896472389051062,0.0007104386330862261,0.0007153701153506475,0.02665405472130321,0.026746403783511674,0.04480521380901337,0.04294328764081001,-0.04102823883295059,-0.04296579211950302,0.06882856168356027,0.055368859257314,-1.6009432977911784,-1.603755790659518,-0.000603006687015295,0.000598060607444495,0.05321530485525727,0.053326680324971676,0.0014259682597274582,0.9965472344261327,0.9803088334606752,2.310791694237581,0.0006364214928629876,0.32349323760384424,2272.7272727272725,-100.89009380635103,102783.77001596485,215909.09090909088
6470,87,0.0004006621610191236,0.0009174969706558407,0.00019774354383884877,0.00024272643436687723,0.014062131553887866,0.015579680175371933,0.0245862677693367,0.028101228177547455,-0.02065233886241913,-0.02562258392572403,0.12180312341445594,0.033312897178830556,-1.613580512055363,-1.5523407173291528,-0.0015308238216675818,0.0015016014804132283,0.02737329644151032,0.031251005828380585,0.0004414723090641612,0.9025943662256316,0.9651243071508034,2.944163320939924,0.0008182562051095554,0.19222868011444588,2272.7272727272725,674.5012262124869,104751.59632549027,288636.36363636365
6471,87,-0.0009573827618566032,-0.0006553729027107032,0.0008116742422173353,0.000744370626463998,0.02848989719562595,0.027283156460790933,0.047702398151159286,0.041088249534368515,-0.04361343011260033,-0.041308678686618805,0.16106640354506702,0.11520064112182994,-1.6010255105937985,-1.6440975237638764,-0.006507948040962219,-0.0020370633574202657,0.05765687674283981,0.05526950163766742,0.0015573909640756408,1.0442302464734696,0.9835705987322609,2.19989212866126,0.0004545867806164197,0.34577077920360505,2272.7272727272725,-82.29021799407224,106050.44103492738,204545.45454545453
6472,87,-0.00018297516422246024,-0.0002331027868618879,0.0007828132418450575,0.0007612118322867855,0.027978799864273263,0.0275900676383148,0.04232182726264,0.042324744164943695,-0.042988281697034836,-0.04044535756111145,0.05330029535654154,0.09255408847086359,-1.635501006642944,-1.661933065286763,0.00020315360598033294,-0.00045164347102399915,0.05681201349943876,0.0572466398589313,0.0015441128909518078,1.014089571328873,0.9880920808793643,2.1569701802100947,0.0004545867806164197,0.3376370557183217,-2272.7272727272725,-225.84541806285867,102360.26109794622,211363.63636363635
6474,87,0.0003929265767128527,2.556163777511632e-05,0.0008473799172928364,0.0008077860535340081,0.029109790746290783,0.028421577252749505,0.04504483938217163,0.046615634113550186,-0.04129597172141075,-0.037535686045885086,0.10970436897351851,0.10335410512352243,-1.6375058454304658,-1.701928689334867,-0.0006442903249990195,-0.0027920131105929613,0.05867121694609523,0.05879698693752289,0.0016553210155188574,1.0242144722448399,0.9922250132525476,2.3482514995559742,0.0008182562051095554,0.36371520891962805,-2272.7272727272725,-168.55811403848926,111721.0950421596,204545.45454545453
