global_index,cfo_hz,cfo_std_hz,cfo_iqr_hz,cfo_drift_hz_per_ms,cfo_skew,cfo_kurt,iq_gain_imbalance_db,iq_phase_error_deg,dc_offset_i,dc_offset_q,dc_offset_mag,envelope_cv,envelope_slope,papr_db,envelope_kurt,constellation_spread_deg,evm_proxy,phase_jitter,seg1_power_ratio,seg2_power_ratio,seg3_power_ratio,seg4_power_ratio,skew_i_norm,skew_q_norm,kurt_i_norm,kurt_q_norm,satellite_id
6289,1161.1858287237803,57297.265778259694,16749.554365464963,-17275.04965525806,23.62091872267994,958.7281654318846,0.6008228668490581,77.3845584994369,0.006328276535204808,0.0005579735594931518,0.00635282759085411,0.4009271450311115,0.008905005697893273,4.183121511722807,-0.3509476476861404,39.75628774059968,0.4009271450311115,0.022470319821550733,0.9231914523140217,1.026070462034597,1.057251423383878,0.9934866622675036,0.10215897405461664,0.10070471390220245,-1.5749541433355534,-1.5819749368292761,85
6291,-1110.0085545411023,53271.783482628765,13655.442887841185,17188.51590166955,-27.86512114906221,1365.7977064577565,-0.47523407626160485,81.71360260415172,8.771719631675461e-05,0.014832520024588161,0.014832779395188836,0.3840360921086027,-0.12751622904555804,4.266438933403239,-0.20685715357786583,29.670108902661767,0.3840360921086027,0.02224262390672992,0.9530980077809444,1.0848225743416755,1.0849336893685744,0.8771457285088069,0.08392547805869116,0.0797497150624366,-1.6444733528238278,-1.62295546079244,87
6292,5661.730759401225,59501.79792216914,15102.453631124863,9254.94487925743,13.643361300397403,271.93409990877313,0.023364878799877864,78.92593932938813,-0.012701388349541192,-0.022667339033658456,0.025983331673838074,0.4012682779462802,-0.11132102986618492,5.074213500307431,-0.3246880111031363,35.80747400631196,0.4012682779462802,0.014004644613724323,0.9587574804965383,1.0884194560484517,0.9972806046729735,0.9555424587820365,0.1506216684345732,0.1245082494372044,-1.5473045935684335,-1.5679473619034665,85
6294,409.6131581536078,63219.354470904684,56991.68287852844,23238.313899056775,0.42255128412389154,398.51809699814976,0.07817456129517075,66.66205260059655,-0.016608956827839135,-0.005208430076729862,0.017406469796406407,0.4023359406448719,-0.06843620101876562,4.634925871060509,-0.3615545114321783,56.21712661006077,0.4023359406448719,0.06155420355177741,0.9728341595295512,1.0950628983143944,1.0263639608528392,0.9057389813032152,0.10323502413250593,0.0543561165014637,-1.3725514567227615,-1.3860965403842684,87
6295,10303.46673241982,76616.45712544829,55680.93876971474,29031.26119225239,0.8357187427775783,26.33500718811533,-0.8311938296492806,69.69990368590337,-0.02325667427256421,-0.026327933758577997,0.03512880576131533,0.3850823273622782,0.03206142715561585,4.790620013350181,-0.5696433123702271,53.477989850113296,0.3850823273622782,0.0076264482760799975,0.9207300701357534,1.0457051101812491,1.0323259763345265,1.0012388433484711,0.16141612164718802,0.12261626135197692,-1.4817311823965689,-1.4597446011447242,85
6297,1167.031414412584,49420.202056136535,9619.651571079989,-33395.76067637117,-8.695095365523864,275.0683999326738,-0.40525508614699124,82.92387253763414,0.0065658083223568055,0.010862660611071513,0.012692802467432257,0.3779800606613862,-0.06407985942245856,3.6405250050277527,-0.0973064918681179,26.491178188501014,0.3779800606613862,0.009242716929498079,0.9556317923951372,1.0434172333504284,1.0475652524269288,0.9533857218275053,0.06992707995047234,0.10436680517954311,-1.681305449903,-1.6367848166158991,87
6298,1073.7110137931718,35375.886404100784,21058.60104264782,-11249.478179175383,0.07828164502857515,15.488930118321466,-1.0657015950923523,74.71999019345579,-0.018141030602157025,-0.011368481232002183,0.021408861642571834,0.38460294344662227,0.11080849325631106,4.8934636747300555,-0.43121547959878015,43.448597719401,0.38460294344662227,0.0016764756628081785,0.8919343450926747,1.0078758215549644,0.9725406617952345,1.1276491715571266,0.19475156962005086,0.18349781449675762,-1.5335519509775422,-1.511501850682938,85
6299,-3360.6923230646134,70551.62115740182,37029.53722232657,7004.07737272924,-5.8074832610198595,292.7552051057034,-1.7329201278378763,66.98351453598463,-0.03410162035255539,-0.003323472017832873,0.03426318690552789,0.38747377813446254,0.01108319230477947,4.8974537032502905,-0.522886954343027,56.631006961771014,0.38747377813446254,0.01878948663645963,0.9253500114745562,1.0073256470299514,1.121723684271363,0.9456006572241292,0.08024052724313867,0.2051730384142345,-1.4481322570314186,-1.4745661100394423,87
6301,-3344.566295999828,31518.679302907087,11029.49355161831,16122.40885902549,-3.183334590424316,57.8794851331732,-0.011962477852355609,82.48858427521594,0.0015442820452295895,0.0053947006262537595,0.005611381459330776,0.3677787838094489,-0.04199767409783802,3.6526585306281727,-0.056475231389926606,25.6348709887155,0.3677787838094489,0.0018535356409619954,0.9736041301810753,1.0178402994104632,1.0518426680340447,0.9567129023744168,0.039897718924460666,0.07111155178206101,-1.6757694485152548,-1.6624543959888989,87
6302,1109.4670163526248,50947.99740080489,18472.6169656624,45578.05519435861,17.281677680472626,604.5981362176009,0.770049405633817,77.1688935206,-0.013948977358050384,0.0020713934378955774,0.014101937459440073,0.39847057923291607,-0.03780395311430758,4.434120763652519,-0.3816856323590234,40.00207619954369,0.39847057923291607,0.013685860454998042,0.9446609747426458,1.0782088104813572,1.0110315171849682,0.9660986975910293,0.14515043922525786,0.11192809068748884,-1.5796429164898782,-1.517093022051546,85
