global_index,ampm_correlation,ampm_slope_deg,ampm_q1_deg,ampm_q4_deg,ampm_range_deg,ampm_curvature,ccdf_1db,ccdf_3db,ccdf_6db,ccdf_9db,papr_deficit_db,acpr_lower_db,acpr_upper_db,acpr_mean_db,acpr_asymmetry_db,occupied_fraction,const_spread_q1_deg,const_spread_q2_deg,const_spread_q3_deg,const_spread_q4_deg,satellite_id
26526,0.032305421231668734,3.6260126363996923,1.9451893792498112,4.748096420539911,5.8253543558774785,0.07622806679683584,0.345,0.03918181818181818,0.0,0.0,-1.060774627851115,-13.522786947508385,-16.395380111587016,-14.959083529547701,-2.8725931640786317,0.0011818181818181819,71.51411536162254,35.07131287554842,20.876461256194723,15.424562975807643,51
26527,-0.2263163857685142,-22.709269879122008,0.6638753459516099,-20.141875426095933,20.805750772047542,-0.4101491806062723,0.34436363636363637,0.047,0.0,0.0,-0.6890092715407139,-14.794615384554417,-19.124750818524106,-16.959683101539262,-4.330135433969689,0.0011818181818181819,86.35003801461987,28.713155770600864,21.64642989917378,17.632973573719223,51
26528,-0.025256650713556313,-2.9046606310258167,5.110511108853337,-2.924110585484427,8.469273383701106,-0.4910828567104404,0.3577272727272727,0.039636363636363636,0.0,0.0,-1.2309173885356,-14.722161645635879,-17.010546282354138,-15.866353963995008,-2.288384636718259,0.0011818181818181819,53.880123590544436,16.973613835356996,12.269276046438137,12.917948967826913,51
26529,0.1115081595013632,11.766841068236465,4.800300382181865,17.363027864554176,22.915979212705118,0.7028497108178998,0.3013636363636364,0.06336363636363636,0.0,0.0,-0.6982012589126123,-15.787801855382192,-14.266901574926337,-15.027351715154264,1.5209002804558551,0.0011818181818181819,82.90867384410122,37.407428567814605,31.65685124954896,21.536919208523372,51
26530,-0.140638332159872,-14.674728181655583,-4.033083027033176,-18.779683265850135,14.74660023881696,-0.45752846752265774,0.3370909090909091,0.05427272727272727,0.0,0.0,-0.9394016725201944,-13.839463079701826,-16.725143217774548,-15.282303148738187,-2.885680138072722,0.0011818181818181819,65.38736894104288,23.34455683659235,18.143078109100212,13.428157920571271,51
26531,0.0516577268484409,4.828084358145241,2.1495405815769284,4.423582517245387,4.869157007740611,0.1034598079994659,0.3361818181818182,0.07690909090909091,0.0,0.0,0.3667657195598162,-14.62741089867736,-15.776490559051087,-15.201950728864222,-1.1490796603737277,0.0015454545454545454,93.55979054685434,52.510297582013465,40.29993427481117,32.732952211392934,51
26532,-0.10487047911422441,-10.842816954691486,-3.2269407211459056,-10.707677545519447,8.411637962830985,-0.3392856879520381,0.38045454545454543,0.051727272727272726,0.0,0.0,-0.9948440719321052,-16.38870133087928,-14.870333238180649,-15.629517284529964,1.5183680926986298,0.0011818181818181819,67.38588256125136,34.26114495805463,21.603373891624376,18.444053918378643,51
26533,-0.05695128820295063,-6.523041068205357,3.605729564892601,-0.14810857715714798,12.483962294856644,0.27202087550185305,0.37472727272727274,0.02481818181818182,0.0,0.0,-1.1449066370498655,-15.669430056795699,-14.100729339185689,-14.885079697990694,1.5687007176100103,0.0011818181818181819,59.41876324525891,16.880983389761802,13.88225703690635,11.64546288744821,51
26534,-0.11202293003595078,-11.381074869382113,2.83296837596936,-10.644744870831062,13.477713246800421,-0.2681598971793228,0.3410909090909091,0.06918181818181818,0.0,0.0,-1.0539522741518272,-16.102239993687053,-14.508577175351025,-15.30540858451904,1.5936628183360284,0.0011818181818181819,79.66587698987871,33.74793457152943,30.2177191977034,25.68060027187166,51
26535,0.06640743385510553,7.149924155526017,4.872250038003717,12.039802166089924,11.663892401616724,0.4147023300048548,0.35963636363636364,0.05136363636363636,0.0,0.0,-0.9809509318141867,-14.977253043437564,-17.31025607969174,-16.143754561564652,-2.3330030362541763,0.0011818181818181819,67.61745551596543,28.836893797708225,24.66521817901645,19.45874624084985,51
26536,0.04925881808421357,5.779372759900213,3.6345857289206487,10.788375815751714,8.748533558387358,0.13595412745775745,0.35845454545454547,0.04109090909090909,0.0,0.0,-1.2811528426498864,-16.609615761197148,-13.867864476093875,-15.238740118645511,2.7417512851032733,0.0011818181818181819,55.65444540712206,15.763156048154954,15.031682065455453,9.833641809609588,51
26537,-0.08450019391850419,-8.753271015485714,2.5548931297317243,-4.816838483666855,14.558051027323593,0.0533958090600095,0.3450909090909091,0.06836363636363636,0.0,0.0,-1.171325311082139,-15.520760111532235,-16.28702267735735,-15.903891394444791,-0.7662625658251141,0.0011818181818181819,80.28674626633479,41.51468525380182,31.115628539050263,25.0516734179542,51
26538,-0.04738081518229402,-4.517880247310926,3.9203926151819464,1.299123886556345,5.779173750423515,0.0890707928387539,0.309,0.08409090909090909,0.0,0.0,0.27562944216189234,-14.249737082442625,-15.65626915074996,-14.953003116596292,-1.4065320683073352,0.002818181818181818,93.33169265652903,54.792244628804525,53.51975794501775,39.325038835897885,51
26539,0.026482000552118055,2.6828216654076322,6.629074115133481,10.95320156226927,9.707964734653352,-0.2830762818089415,0.35354545454545455,0.051272727272727275,0.0,0.0,-0.6307366191733657,-14.318602631524138,-16.63324379545262,-15.475923213488379,-2.314641163928483,0.0011818181818181819,74.29819663770452,28.02439702152024,23.109029175145977,18.91286885141272,51
26540,0.02534057503509495,1.7494430376539525,-1.9588644529116137,-0.44769804504610816,2.2587073133513087,-0.00849248038006747,0.3392727272727273,0.12163636363636364,0.0,0.0,0.518569468095782,-10.068701900921633,-29.827027533429526,-19.94786471717558,-19.75832563250789,0.010454545454545454,131.7076922026184,120.93201600858423,132.2119323926279,60.42237205252383,51
26541,-0.22060748918401238,-20.878490637182843,2.3424803055192274,-19.205417329462527,21.547897634981755,-0.2379355848878666,0.2938181818181818,0.09545454545454546,0.0,0.0,-0.018986765601413325,-15.621917684407947,-16.356196043896283,-15.989056864152115,-0.7342783594883358,0.0015454545454545454,100.7790226413802,51.59032055091319,43.73282325733117,33.46755067129181,51
26542,0.032335156009520964,3.3605692242458858,19.613580273790735,22.788390184665296,12.37522391163664,0.08485344420996017,0.35954545454545456,0.037636363636363634,0.0,0.0,-1.3783013871549272,-16.04455780256776,-18.05600327326845,-17.050280537918105,-2.0114454707006892,0.0011818181818181819,42.439885150061144,12.353988895140478,8.932049289498059,5.891035711879211,51
26543,-0.051487909831695634,-5.751976952655347,7.95671019123545,4.877647942251123,10.68774129441213,0.17654263820488914,0.3507272727272727,0.043,0.0,0.0,-0.8940519401944824,-13.956507982473152,-16.3088381631473,-15.132673072810226,-2.352330180674148,0.0011818181818181819,62.106437684230734,17.946891815883877,13.599881531867222,10.98366191833234,51
26544,0.20218434042393782,20.21326627170796,-0.7619177984760916,19.97329007578208,20.735207874258172,0.42209211213580544,0.36472727272727273,0.05254545454545455,0.0,0.0,-0.21207925442111897,-17.089970625554912,-15.092574538272736,-16.091272581913824,1.9973960872821763,0.0011818181818181819,76.15003956041144,37.30869745674028,31.40744565171857,20.26016502560981,51
26545,-0.22574613308208183,-26.817282745413976,4.660560755732449,-23.411952388749416,29.319748696355926,-0.9251549982025371,0.3468181818181818,0.027909090909090908,0.0,0.0,-1.5225639944274576,-16.41970159142389,-14.574281806935234,-15.496991699179564,1.8454197844886568,0.0011818181818181819,47.63954353796859,10.660411957291618,9.439192749941002,6.2741927502905845,51
26546,0.16361184404612522,17.2364899005443,4.408408707343305,21.238165132641406,16.8297564252981,0.10075326026110831,0.34436363636363637,0.05563636363636364,0.0,0.0,-1.1305380880862175,-16.331561432844964,-14.23182411677606,-15.281692774810512,2.0997373160689037,0.0011818181818181819,51.416331362754995,15.519072881131066,10.323127964531492,12.022918888925574,51
26547,0.02393353576121744,2.660196981359013,-3.3617213009866527,-0.3894530541093345,6.548402830118156,0.03453662182531049,0.3280909090909091,0.06645454545454546,0.0,0.0,-1.0502456978463415,-15.284466200558231,-13.933738854129164,-14.609102527343698,1.3507273464290677,0.0011818181818181819,75.81103217687462,25.783496306029953,19.462496336471354,18.396925679436457,51
26548,-0.11737514723195652,-13.577981583724679,-0.6542558596255966,-13.081255973524526,13.371129972725155,0.28141466551818967,0.33290909090909093,0.032090909090909094,0.0,0.0,-1.3317224940194512,-16.566816016458745,-14.314851987417992,-15.440834001938368,2.251964029040753,0.0011818181818181819,44.43896945928025,14.894009972866437,9.623785016849649,7.553038675575023,51
26549,-0.15586144710119465,-17.5602662246545,13.476484955737009,-2.372327212105273,19.126797403676818,-0.46061338887877556,0.3261818181818182,0.04554545454545455,0.0,0.0,-1.2942654760634826,-14.158772152753048,-17.321568229251028,-15.740170191002038,-3.1627960764979797,0.0011818181818181819,63.8024550777803,13.1354407915941,11.965038361528693,10.471156136639141,51
26550,-0.13709926729903757,-14.286383683125985,1.1752308776676004,-10.516663777823588,11.691894655491188,-0.1631307676189514,0.3453636363636364,0.03590909090909091,0.0,0.0,-1.16372364486284,-16.162287178540428,-14.073579499299987,-15.117933338920206,2.088707679240441,0.0011818181818181819,72.57062600364262,39.536291380537705,27.343646397079134,20.847670176882897,51
26551,-0.10917047470335371,-12.192924041862009,-0.511097743989307,-13.25970672180682,12.748608977817511,-0.18231807292332497,0.34863636363636363,0.03854545454545454,0.0,0.0,-1.372221609939945,-16.318669921967505,-14.19305536101646,-15.255862641491984,2.1256145609510444,0.0011818181818181819,48.45620619561458,17.944935053915497,13.714566500883874,10.613251944180213,51
26552,0.24269709577884957,24.49863705382246,0.18515771424310865,21.323833236557583,21.138675522314472,0.2666387446276198,0.3400909090909091,0.03481818181818182,0.0,0.0,-1.014939560523072,-17.36490741472659,-14.533833874961047,-15.94937064484382,2.831073539765544,0.0011818181818181819,80.14473761911262,32.83838788950053,28.30656112494375,18.25692188855387,51
26553,-0.12769715364915815,-14.731181765152135,8.635839217895853,-4.615467236981839,16.201614897653972,0.13382595559885832,0.37072727272727274,0.02481818181818182,0.0,0.0,-1.6907274129332595,-14.583349774068957,-17.614283508176143,-16.09881664112255,-3.0309337341071867,0.0011818181818181819,46.50267425798933,14.510103364576374,10.424471751481951,8.627486743550996,51
26554,0.0043251454207095166,0.4792497751021605,3.487231503911926,4.68815433911254,4.6400896258468265,0.32292280867319945,0.3357272727272727,0.02727272727272727,0.0,0.0,-1.2707123423407314,-14.212924383484856,-16.116263230828835,-15.164593807156844,-1.9033388473439796,0.0011818181818181819,51.43023196914461,23.899770114392368,21.151929629372592,19.89078470731682,51
26555,0.02444286428885651,2.593299387363596,13.355510734901507,11.91944591662148,5.903785508679279,-0.37540737672797125,0.3528181818181818,0.03654545454545455,0.0,0.0,-1.3671921934317286,-17.65151964482818,-15.534961587030958,-16.59324061592957,2.1165580577972225,0.0011818181818181819,49.43144172240097,11.396405463949112,8.46699346287982,7.648455438762854,51
26556,-0.08430651885133453,-8.047618600827702,4.636263780394013,-5.595442922118687,10.231706702512701,0.018200857567336096,0.3266363636363636,0.07945454545454546,0.0,0.0,-0.21736816887692978,-17.77423913582075,-15.771414117162614,-16.772826626491682,2.002825018658136,0.0013636363636363637,87.23420598939992,52.598709812241026,44.92242510695771,37.651314368091356,51
26557,-0.1821001132566469,-18.707569631533406,-2.2033503706849373,-20.96693011587682,18.763579745191883,-0.11627089292699543,0.3418181818181818,0.05809090909090909,0.0,0.0,-1.220816498515032,-17.08267504522755,-14.698369979611039,-15.890522512419295,2.384305065616511,0.0011818181818181819,73.35692115020538,28.80322464243568,24.57847940756566,14.876939980104227,51
26558,0.1386682664739856,14.657218627811018,3.990985359329785,16.047771311435547,19.074210887435022,-0.23040804355783695,0.345,0.037909090909090906,0.0,0.0,-1.24759725226638,-17.92791338967723,-14.942551727176884,-16.435232558427057,2.9853616625003454,0.0011818181818181819,60.08525033607506,13.048416758450918,12.00846112652187,11.423756144178924,51
26559,-0.12410437644513055,-13.726572785335772,0.6555435829457599,-9.754022793786577,13.529634864616506,0.07967938678427981,0.34245454545454546,0.060636363636363634,0.0,0.0,-1.3700922970038496,-15.794151547417378,-18.326226288320754,-17.060188917869066,-2.5320747409033757,0.0011818181818181819,44.496709078950445,10.353671740654622,9.08841955202235,7.1289400058565855,51
