threshold,FRR,FAR
0.498,0.9983779399837794,0.0006082725060827251
0.5,0.9983779399837794,0.0006082725060827251
0.502,0.9991889699918897,0.0006082725060827251
0.504,0.9991889699918897,0.0006082725060827251
0.506,0.9991889699918897,0.0006082725060827251
0.508,0.9991889699918897,0.0006082725060827251
0.51,0.9991889699918897,0.0006082725060827251
0.512,0.9991889699918897,0.0006082725060827251
0.514,0.9991889699918897,0.0006082725060827251
0.516,0.9991889699918897,0.0006082725060827251
0.518,0.9991889699918897,0.0006082725060827251
0.52,0.9991889699918897,0.0006082725060827251
0.522,0.9991889699918897,0.0006082725060827251
0.524,0.9991889699918897,0.0006082725060827251
0.526,0.9991889699918897,0.0006082725060827251
0.528,0.9991889699918897,0.0006082725060827251
0.53,0.9991889699918897,0.0006082725060827251
0.532,0.9991889699918897,0.0006082725060827251
0.534,0.9991889699918897,0.0006082725060827251
0.536,1.0,0.0006082725060827251
0.538,1.0,0.0006082725060827251
0.54,1.0,0.0006082725060827251
0.542,1.0,0.00040551500405515005
0.544,1.0,0.00040551500405515005
0.546,1.0,0.00040551500405515005
0.548,1.0,0.00040551500405515005
0.55,1.0,0.00040551500405515005
0.552,1.0,0.00040551500405515005
0.554,1.0,0.00040551500405515005
0.556,1.0,0.00040551500405515005
0.558,1.0,0.00040551500405515005
0.56,1.0,0.00040551500405515005
0.562,1.0,0.00020275750202757503
0.5640000000000001,1.0,0.00020275750202757503
0.5660000000000001,1.0,0.00020275750202757503
0.5680000000000001,1.0,0.00020275750202757503
0.5700000000000001,1.0,0.00020275750202757503
0.5720000000000001,1.0,0.00020275750202757503
0.5740000000000001,1.0,0.00020275750202757503
0.5760000000000001,1.0,0.00020275750202757503
0.578,1.0,0.00020275750202757503
0.58,1.0,0.00020275750202757503
0.582,1.0,0.00020275750202757503
0.584,1.0,0.00020275750202757503
0.586,1.0,0.0
0.588,1.0,0.0
0.59,1.0,0.0
0.592,1.0,0.0
0.594,1.0,0.0
0.596,1.0,0.0
0.598,1.0,0.0
0.6,1.0,0.0
0.602,1.0,0.0
0.604,1.0,0.0
0.606,1.0,0.0
0.608,1.0,0.0
0.61,1.0,0.0
0.612,1.0,0.0
0.614,1.0,0.0
0.616,1.0,0.0
0.618,1.0,0.0
0.62,1.0,0.0
0.622,1.0,0.0
0.624,1.0,0.0
0.626,1.0,0.0
0.628,1.0,0.0
0.63,1.0,0.0
0.632,1.0,0.0
0.634,1.0,0.0
0.636,1.0,0.0
0.638,1.0,0.0
0.64,1.0,0.0
0.642,1.0,0.0
0.644,1.0,0.0
0.646,1.0,0.0
0.648,1.0,0.0
0.65,1.0,0.0
0.652,1.0,0.0
0.654,1.0,0.0
0.656,1.0,0.0
0.658,1.0,0.0
0.66,1.0,0.0
0.662,1.0,0.0
0.664,1.0,0.0
0.666,1.0,0.0
0.668,1.0,0.0
0.67,1.0,0.0
0.672,1.0,0.0
0.674,1.0,0.0
0.676,1.0,0.0
0.678,1.0,0.0
0.68,1.0,0.0
0.682,1.0,0.0
0.684,1.0,0.0
0.686,1.0,0.0
0.6880000000000001,1.0,0.0
0.6900000000000001,1.0,0.0
0.6920000000000001,1.0,0.0
0.6940000000000001,1.0,0.0
0.6960000000000001,1.0,0.0
0.6980000000000001,1.0,0.0
0.7000000000000001,1.0,0.0
0.7020000000000001,1.0,0.0
0.704,1.0,0.0
0.706,1.0,0.0
0.708,1.0,0.0
0.71,1.0,0.0
0.712,1.0,0.0
0.714,1.0,0.0
