case_type,global_index,true_sat,claimed_sat,rf_match,confidence_band,hmac_pass,freshness_pass,decision,combined_caught,higher_layer_only_caught
genuine,432,109,109,False,middle,True,True,flag,False,False
genuine,433,85,85,False,low,True,True,flag,False,False
genuine,434,92,92,True,low,True,True,flag,False,False
genuine,435,87,87,False,low,True,True,flag,False,False
genuine,436,87,87,False,high,True,True,reject,True,False
genuine,437,92,92,False,high,True,True,reject,True,False
genuine,438,51,51,False,low,True,True,flag,False,False
genuine,439,51,51,False,low,True,True,flag,False,False
genuine,440,51,51,False,low,True,True,flag,False,False
genuine,441,87,87,False,middle,True,True,flag,False,False
genuine,442,51,51,False,low,True,True,flag,False,False
genuine,443,109,109,False,middle,True,True,flag,False,False
genuine,444,87,87,False,low,True,True,flag,False,False
genuine,445,109,109,False,middle,True,True,flag,False,False
genuine,446,87,87,False,high,True,True,reject,True,False
genuine,447,92,92,False,middle,True,True,flag,False,False
genuine,448,51,51,False,high,True,True,reject,True,False
genuine,449,51,51,False,middle,True,True,flag,False,False
genuine,450,51,51,False,low,True,True,flag,False,False
genuine,451,87,87,True,low,True,True,flag,False,False
genuine,452,92,92,False,low,True,True,flag,False,False
genuine,453,92,92,False,high,True,True,reject,True,False
genuine,454,109,109,False,high,True,True,reject,True,False
genuine,455,109,109,True,high,True,True,accept,False,False
genuine,456,87,87,False,middle,True,True,flag,False,False
genuine,457,92,92,False,high,True,True,reject,True,False
genuine,458,109,109,False,low,True,True,flag,False,False
genuine,459,85,85,True,high,True,True,accept,False,False
genuine,460,87,87,False,middle,True,True,flag,False,False
genuine,461,51,51,True,high,True,True,accept,False,False
genuine,462,51,51,True,middle,True,True,flag,False,False
genuine,463,92,92,False,low,True,True,flag,False,False
genuine,464,109,109,False,middle,True,True,flag,False,False
genuine,465,87,87,False,low,True,True,flag,False,False
genuine,466,51,51,False,middle,True,True,flag,False,False
genuine,467,92,92,False,high,True,True,reject,True,False
genuine,468,92,92,False,middle,True,True,flag,False,False
genuine,469,51,51,False,low,True,True,flag,False,False
genuine,470,109,109,False,middle,True,True,flag,False,False
genuine,471,51,51,False,high,True,True,reject,True,False
genuine,472,51,51,False,middle,True,True,flag,False,False
genuine,473,85,85,False,middle,True,True,flag,False,False
genuine,474,92,92,False,low,True,True,flag,False,False
genuine,475,85,85,False,low,True,True,flag,False,False
genuine,476,51,51,False,high,True,True,reject,True,False
genuine,477,109,109,False,high,True,True,reject,True,False
genuine,478,85,85,False,middle,True,True,flag,False,False
genuine,479,92,92,False,low,True,True,flag,False,False
genuine,480,109,109,False,low,True,True,flag,False,False
genuine,481,85,85,False,low,True,True,flag,False,False
genuine,482,92,92,False,high,True,True,reject,True,False
genuine,483,51,51,False,middle,True,True,flag,False,False
genuine,484,87,87,False,low,True,True,flag,False,False
genuine,485,87,87,True,high,True,True,accept,False,False
genuine,486,85,85,False,low,True,True,flag,False,False
genuine,487,51,51,False,high,True,True,reject,True,False
genuine,488,109,109,False,middle,True,True,flag,False,False
genuine,489,92,92,True,low,True,True,flag,False,False
genuine,490,92,92,True,middle,True,True,flag,False,False
genuine,491,87,87,False,middle,True,True,flag,False,False
genuine,492,87,87,False,low,True,True,flag,False,False
genuine,493,92,92,False,high,True,True,reject,True,False
genuine,494,51,51,False,middle,True,True,flag,False,False
genuine,495,87,87,False,high,True,True,reject,True,False
genuine,496,85,85,True,high,True,True,accept,False,False
genuine,497,85,85,False,middle,True,True,flag,False,False
genuine,498,87,87,True,high,True,True,accept,False,False
genuine,499,87,87,False,high,True,True,reject,True,False
genuine,500,85,85,True,middle,True,True,flag,False,False
genuine,501,51,51,False,middle,True,True,flag,False,False
genuine,502,87,87,False,middle,True,True,flag,False,False
genuine,503,51,51,False,low,True,True,flag,False,False
genuine,504,51,51,False,low,True,True,flag,False,False
genuine,505,87,87,False,middle,True,True,flag,False,False
genuine,506,109,109,False,low,True,True,flag,False,False
genuine,507,92,92,False,low,True,True,flag,False,False
genuine,508,109,109,True,middle,True,True,flag,False,False
genuine,509,87,87,True,low,True,True,flag,False,False
genuine,510,85,85,False,low,True,True,flag,False,False
genuine,511,51,51,True,high,True,True,accept,False,False
genuine,512,51,51,False,low,True,True,flag,False,False
genuine,513,51,51,False,high,True,True,reject,True,False
genuine,514,92,92,True,middle,True,True,flag,False,False
genuine,515,109,109,False,high,True,True,reject,True,False
genuine,516,87,87,False,high,True,True,reject,True,False
genuine,517,87,87,False,low,True,True,flag,False,False
genuine,518,51,51,False,low,True,True,flag,False,False
genuine,519,92,92,False,low,True,True,flag,False,False
genuine,520,85,85,False,high,True,True,reject,True,False
genuine,521,109,109,True,middle,True,True,flag,False,False
genuine,522,87,87,False,middle,True,True,flag,False,False
